play_nr	wav_name	exp_code	part_nr	trial_nr	time_transition	time_duration	code_block	code_dialogue	code_tempo	code_turn_transition	code_overlap	left_left_border	left_right_border	right_left_border	right_right_border
39	1_2_16d_425_Mi_Ko.wav	0	0	6	2316	4509	231	84	96	212	98	5	15	30	40
40	1_2_17d_425_Mi_Ko.wav	0	1	6	2385	4528	241	84	196	222	198	5	15	30	40
41	3_3_37a_425_Ar_Mi.wav	0	0	24	3412	5609	233	79	96	213	99	15	25	40	50
42	3_3_38a_425_Ar_Mi.wav	0	1	24	3482	5653	243	79	196	223	199	15	25	40	50
43	1_2_22c_525_Ja_Ko.wav	0	0	1	2806	5471	230	87	97	212	98	5	15	30	40
44	1_2_23c_525_Ja_Ko.wav	0	1	1	2847	5400	240	87	197	222	198	5	15	30	40
45	3_2_28a_425_Ro_Mi.wav	0	0	2	3120	5375	230	90	96	212	99	25	35	80	90
46	3_2_29a_425_Ro_Mi.wav	0	1	2	3200	5371	240	90	196	222	199	25	35	80	90
47	1_2_34d_425_Ja_Ro.wav	0	0	3	2360	4589	230	93	96	212	98	35	45	70	80
48	1_2_35d_425_Ja_Ro.wav	0	1	3	2351	4589	240	93	196	222	198	35	45	70	80
49	1_1_21d_425_Ja_Ko.wav	0	0	10	2425	4645	231	86	96	211	98	5	15	40	50
50	1_1_19d_425_Ja_Ko.wav	0	1	10	2513	4706	241	86	196	221	198	5	15	40	50
51	1_3_52d_425_Ja_Ro.wav	0	0	11	2591	4861	231	94	96	213	98	5	15	40	50
52	1_3_54d_425_Ja_Ro.wav	0	1	11	2548	4807	241	94	196	223	198	5	15	40	50
53	1_2_16d_425_Mi_Ko.wav	0	0	6	2316	4509	231	84	96	212	98	5	15	30	40
54	1_2_17d_425_Mi_Ko.wav	0	1	6	2385	4528	241	84	196	222	198	5	15	30	40
55	3_3_37a_425_Ar_Mi.wav	0	0	24	3412	5609	233	79	96	213	99	15	25	40	50
56	3_3_38a_425_Ar_Mi.wav	0	1	24	3482	5653	243	79	196	223	199	15	25	40	50
